,Steam,Team,Name,ppR,GP,Rating,K/R,ADR,KAST,ODR,Impact,CT #,T #,ADP,UD,EF,F_Assists,Util,HS,awp/R,multi/R,clutch/R,SuppR,SuppXr,oda/R,entries/R,trades/R,TRatio,saves/R,SRate,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Rounds,,Peak,Pit,Form,CONCY,Kills,Assists,Deaths,MIP/r,IWR,KPA,RWK,Xdiff,ea/R,ATD,ctADP,tADP,EF/F,Blind/EF,X/nade,AWP/ctr,K/ctr,lurks/tR,wlp/L,Tier,MMR
,sid76561198315950968,Barbarians,bsky,FRAGGER,6,1.31,0.92,94,0.78,0.63,1.33,1.48,1.14,2.6,81,11,0.9,50,31,0.04,0.33,0.04,0.15,13,0.18,0.03,0.12,0.23,0.02,0.36,26,11,2,0,2,1,1,0,0,163,,1.45,1.10,1.30,0.13,150,27,105,0.15,0.70,1.12,0.59,21,0.17,36,2.7,2.6,0.70,3.4,9,0.06,1.17,0.13,1.36,Prospect,300
,sid76561198220009071,Spaghets,Weirdllamas,SUPPORT,4,1.27,0.91,95,0.77,0.58,1.35,1.10,1.37,2.6,156,18,1.6,58,37,0.00,0.32,0.05,0.23,15,0.27,0.08,0.18,0.17,0.01,0.31,13,7,1,0,3,1,0,0,0,95,,1.47,0.97,1.28,0.20,86,19,66,0.19,0.65,1.27,0.59,18,0.25,33,2.4,2.8,0.81,3.5,18,0.00,0.76,0.09,1.73,Prospect,500
,sid76561198830344380,Tanukis,Mike,FRAGGER,6,1.26,0.91,99,0.86,0.72,1.18,1.22,1.27,2.6,286,4,0.4,56,38,0.00,0.31,0.01,0.22,20,0.18,0.04,0.11,0.30,0.01,0.41,21,11,0,0,0,1,0,0,0,140,,1.62,0.91,1.55,0.28,127,33,82,0.16,0.68,1.14,0.60,31,0.18,30,2.6,2.4,0.40,3.8,13,0.00,0.94,0.09,0.53,Prospect,100
,sid76561198044890329,PFA,Sczoot,-,1,1.25,0.82,79,0.86,0.67,1.20,1.24,1.20,2.9,45,15,0.0,34,56,0.18,0.27,0.00,0.09,8,0.27,0.00,0.09,0.11,0.00,0.59,4,1,0,0,0,0,0,0,0,22,,1.25,1.25,1.25,0.00,18,2,9,0.14,0.82,1.11,0.55,26,0.14,20,2.7,3.3,1.00,3.4,33,0.27,0.87,0.14,0.00,Prospect,200
,sid76561198061525483,Hawks,Mr.Professor,ENTRY,5,1.24,0.95,88,0.78,0.53,1.24,1.35,1.09,2.2,49,8,0.8,33,42,0.01,0.36,0.03,0.15,15,0.30,0.08,0.16,0.23,0.00,0.35,26,7,1,0,1,1,0,0,0,120,,1.46,1.01,1.24,0.16,114,19,78,0.13,0.81,1.17,0.59,9,0.33,24,2.3,1.9,0.53,3.5,12,0.00,1.13,0.09,1.81,Prospect,400
,sid76561198085351791,Tanukis,Jalapinecone,ENTRY,6,1.23,0.89,90,0.82,0.75,1.23,1.00,1.59,2.2,69,4,0.0,27,29,0.00,0.31,0.00,0.14,15,0.23,0.11,0.11,0.20,0.01,0.38,30,5,1,0,0,0,0,0,0,140,,1.62,0.76,1.40,0.28,125,21,87,0.19,0.78,1.19,0.59,20,0.36,31,2.2,2.4,0.50,3.4,13,0.00,0.76,0.05,2.74,Prospect,300
,sid76561198055319793,Tanukis,jawa,AWPER,6,1.21,0.86,87,0.82,0.78,1.18,1.21,1.14,2.8,242,12,2.6,56,17,0.46,0.29,0.01,0.26,19,0.23,0.06,0.13,0.20,0.03,0.47,20,6,1,1,1,0,0,0,0,140,,1.37,1.09,1.27,0.10,120,36,74,0.14,0.77,1.16,0.58,22,0.24,29,3.0,2.5,0.89,3.4,10,0.60,0.95,0.07,1.03,Prospect,300
,sid76561198342753723,Team Flash,diesWithoutGrace,ENTRY,4,1.20,0.83,90,0.68,0.57,1.32,1.05,1.27,2.7,128,15,0.3,48,54,0.02,0.31,0.07,0.07,6,0.24,0.13,0.15,0.11,0.01,0.22,16,5,1,0,1,3,0,0,0,95,,1.32,1.08,1.22,0.09,79,7,74,0.17,0.51,1.32,0.53,6,0.35,38,2.9,2.5,0.86,3.4,13,0.03,0.74,0.07,2.47,Prospect,300
,sid76561197962559902,Hawks,ExZxPxZ,SUPPORT,6,1.18,0.83,99,0.78,0.61,1.14,1.18,1.15,2.4,353,25,1.6,83,31,0.01,0.28,0.03,0.26,23,0.16,0.05,0.10,0.21,0.01,0.34,27,4,2,0,2,1,0,0,0,146,,1.36,1.00,1.14,0.13,121,42,96,0.11,0.74,1.14,0.55,25,0.18,29,2.2,2.5,0.76,3.2,14,0.00,0.84,0.01,0.00,Prospect,100
,sid76561199171074471,Spaghets,penguinflops,FRAGGER,6,1.18,0.82,80,0.73,0.58,1.25,1.14,1.30,3.0,58,5,0.7,31,35,0.10,0.27,0.01,0.12,11,0.19,0.06,0.20,0.08,0.04,0.34,20,7,1,0,2,0,0,0,0,137,,1.44,0.79,1.02,0.23,113,18,90,0.12,0.54,1.23,0.55,7,0.23,31,2.9,3.0,0.52,3.4,15,0.21,0.83,0.08,0.00,Prospect,300
,sid76561198143005881,Mathematicians,Getner,LURKER,6,1.17,0.81,88,0.70,0.42,1.16,1.03,1.38,3.0,259,4,0.0,44,26,0.14,0.29,0.02,0.15,15,0.18,0.03,0.09,0.12,0.07,0.34,22,6,2,0,0,0,1,0,0,137,,1.42,0.69,1.11,0.28,111,21,90,0.16,0.53,1.14,0.52,13,0.16,33,2.8,3.0,0.38,2.6,15,0.19,0.70,0.14,1.88,Prospect,300
,sid76561198272941040,Ronin,Stringbean7,AWPER,6,1.15,0.81,85,0.75,0.53,1.16,1.12,1.20,2.5,140,24,0.6,70,26,0.25,0.31,0.05,0.17,15,0.21,0.05,0.14,0.23,0.04,0.37,22,8,3,0,1,2,1,0,0,150,,1.70,0.87,1.19,0.26,122,29,94,0.15,0.63,1.21,0.50,14,0.21,32,2.3,2.7,0.75,3.5,14,0.24,0.78,0.07,2.32,Prospect,200
,sid76561198244135310,Caracals,fivethree_cs,RIFLER,6,1.11,0.77,85,0.70,0.47,1.15,1.12,1.13,2.6,86,8,0.4,54,28,0.14,0.27,0.03,0.17,13,0.21,0.05,0.07,0.15,0.01,0.30,23,9,0,0,1,0,1,0,0,154,,1.28,0.85,0.99,0.17,119,26,108,0.14,0.72,1.13,0.51,4,0.24,34,2.5,2.7,0.46,3.2,11,0.18,0.84,0.09,2.19,Prospect,300
,sid76561198848888610,Hawks,Nitro Anh,AWPER,6,1.10,0.79,81,0.77,0.63,1.09,0.98,1.20,2.4,98,12,0.8,55,20,0.36,0.27,0.03,0.18,12,0.29,0.08,0.12,0.17,0.01,0.39,24,6,1,0,3,1,0,0,0,146,,1.33,0.88,1.25,0.16,115,25,89,0.17,0.78,1.20,0.52,12,0.23,26,2.3,2.6,0.63,3.1,10,0.25,0.71,0.18,1.84,Prospect,300
